FLD_MATCODIGO;FLD_MATNOMBRE;TIPO;FECHA;MMP;StockSeguridad;PtoReorden;StockMaximo;StockMinimo;   
225-7210    ;GUANTE P/EXAMEN DES. CHICO                                  ;INSUMO;01/06/2013 0:00:00.000;67190,53;2302,84;98766,79;165957,33;67190,53;   
214-P112    ;OMEPRAZOL CP 20 MG                                          ;FARMACO;01/06/2013 0:00:00.000;24958,33;887,23;33175,05;58133,38;24958,33;   
212-P009    ;CLONAZEPAM CM 2 MG                                          ;FARMACO;01/06/2013 0:00:00.000;21336;3116,77;34033,78;55369,78;21336;   
224-4528397 ;JERINGA DESECH  LUER LOCK 5-6CC AG 21GX1.5                  ;INSUMO;01/06/2013 0:00:00.000;22077,67;580,75;30813,80;52891,47;22077,67;   
214-5142    ;METFORMINA CM 850 MG                                        ;FARMACO;01/06/2013 0:00:00.000;29063;375,13;38895,63;67958,63;29063;   
214-1110073 ;CARBAMAZEPINA CM 200 MG                                     ;FARMACO;01/06/2013 0:00:00.000;16093,33;706,04;23631,62;39724,96;16093,33;   
224-4530397 ;JERINGA DESECH  LUER LOCK 10CC C/AG 21GX1.5                 ;INSUMO;01/06/2013 0:00:00.000;28783,20;237,25;38193,47;66976,67;28783,20;   
224-P119    ;TORULA RECIEN NACIDOS  4 GRAMOS  GRANEL                     ;INSUMO;01/06/2013 0:00:00.000;25325,73;756,41;33411,64;58737,37;25325,73;   
214-2500    ;ENALAPRILA CM 10 MG                                         ;FARMACO;01/06/2013 0:00:00.000;20600;674,03;30001,04;50601,04;20600;   
214-0110    ;ACIDO ACETIL SALICILICO CM 100MG                            ;FARMACO;01/06/2013 0:00:00.000;28116,67;560,99;38758,97;66875,64;28116,67;   
214-4910    ;LEVOTIROXINA CM 100 MCG                                     ;FARMACO;01/06/2013 0:00:00.000;25566;495,63;34972,24;60538,24;25566;   
224-P113    ;GASA CURACION                                               ;INSUMO;01/06/2013 0:00:00.000;21841,33;406,32;30589,32;52430,65;21841,33;   
225-7205    ;GUANTE P/EXAMEN DES. MEDIANO                                ;INSUMO;01/06/2013 0:00:00.000;119862,27;2799,98;164486,86;284349,13;119862,27;   
241-1552    ;LANCETAS ACCUCHEK SOFTCLIK  DESECHABLES PAC. AMBULATORIO    ;INSUMO;01/06/2013 0:00:00.000;18506,77;650,92;25596,36;44103,12;18506,77;   
225-7254    ;MASCARILLA DESECHABLE PLIEGUE C/ TIRA - ELASTICO            ;INSUMO;01/06/2013 0:00:00.000;14585,57;281,95;19231,89;33817,46;14585,57;   
224-4528397 ;JERINGA DESECH  LUER LOCK 5-6CC AG 21GX1.5                  ;INSUMO;01/07/2013 0:00:00.000;20882,67;443,21;29566,86;50449,53;20882,67;   
214-5142    ;METFORMINA CM 850 MG                                        ;FARMACO;01/07/2013 0:00:00.000;29020;803,33;39058,82;68078,82;29020;   
214-1110073 ;CARBAMAZEPINA CM 200 MG                                     ;FARMACO;01/07/2013 0:00:00.000;17020;256,70;22890,22;39910,22;17020;   
224-4530397 ;JERINGA DESECH  LUER LOCK 10CC C/AG 21GX1.5                 ;INSUMO;01/07/2013 0:00:00.000;29719,70;674,21;39440,22;69159,92;29719,70;   
224-P119    ;TORULA RECIEN NACIDOS  4 GRAMOS  GRANEL                     ;INSUMO;01/07/2013 0:00:00.000;24515,73;853,44;34216,17;58731,90;24515,73;   
214-2500    ;ENALAPRILA CM 10 MG                                         ;FARMACO;01/07/2013 0:00:00.000;21683,33;207,62;29287,02;50970,35;21683,33;   
214-0110    ;ACIDO ACETIL SALICILICO CM 100MG                            ;FARMACO;01/07/2013 0:00:00.000;29083,33;489,71;39752,46;68835,80;29083,33;   
214-4910    ;LEVOTIROXINA CM 100 MCG                                     ;FARMACO;01/07/2013 0:00:00.000;26175,33;386,89;34792,81;60968,15;26175,33;   
224-P113    ;GASA CURACION                                               ;INSUMO;01/07/2013 0:00:00.000;23234,67;912,38;32546,54;55781,20;23234,67;   
225-7205    ;GUANTE P/EXAMEN DES. MEDIANO                                ;INSUMO;01/07/2013 0:00:00.000;117128,67;2126,90;155398,28;272526,95;117128,67;   
241-1552    ;LANCETAS ACCUCHEK SOFTCLIK  DESECHABLES PAC. AMBULATORIO    ;INSUMO;01/07/2013 0:00:00.000;19443,43;453,14;25564,46;45007,90;19443,43;   
225-7254    ;MASCARILLA DESECHABLE PLIEGUE C/ TIRA - ELASTICO            ;INSUMO;01/07/2013 0:00:00.000;14950,53;381,79;19990,95;34941,48;14950,53;   
214-P122    ;ATORVASTATINA CM 40 MG                                      ;FARMACO;01/07/2013 0:00:00.000;15441,67;130,18;20977,02;36418,68;15441,67;   
224-4544033 ;JERINGA DESECH LUER LOCK 20CC C/AG 21GX1.5                  ;INSUMO;01/07/2013 0:00:00.000;14785,37;238,28;19930,17;34715,54;14785,37;   
225-7200    ;GUANTE P/EXAMEN DES. GRANDE                                 ;INSUMO;01/07/2013 0:00:00.000;29083,33;1043,34;42521,51;71604,85;29083,33;   
212-P008    ;CLONAZEPAM CM 0.5 MG                                        ;FARMACO;01/07/2013 0:00:00.000;18902,67;1304,18;27931,89;46834,56;18902,67;   
214-5920    ;PARACETAMOL CM 500 MG                                       ;FARMACO;01/07/2013 0:00:00.000;53551,87;1225,78;73050,98;126602,84;53551,87;   
225-7210    ;GUANTE P/EXAMEN DES. CHICO                                  ;INSUMO;01/07/2013 0:00:00.000;66253,87;3090,11;95088,01;161341,88;66253,87;   
214-P112    ;OMEPRAZOL CP 20 MG                                          ;FARMACO;01/07/2013 0:00:00.000;24906;563,32;32865,03;57771,03;24906;   
212-P009    ;CLONAZEPAM CM 2 MG                                          ;FARMACO;01/07/2013 0:00:00.000;21100;1748,25;33662,39;54762,39;21100;   
214-5142    ;METFORMINA CM 850 MG                                        ;FARMACO;01/08/2013 0:00:00.000;30040;989,09;39854,23;69894,23;30040;   
214-1110073 ;CARBAMAZEPINA CM 200 MG                                     ;FARMACO;01/08/2013 0:00:00.000;16986,67;221,78;22721,49;39708,15;16986,67;   
224-4530397 ;JERINGA DESECH  LUER LOCK 10CC C/AG 21GX1.5                 ;INSUMO;01/08/2013 0:00:00.000;30922,60;653,69;41166,15;72088,75;30922,60;   
224-P119    ;TORULA RECIEN NACIDOS  4 GRAMOS  GRANEL                     ;INSUMO;01/08/2013 0:00:00.000;23909,07;941,81;33428,65;57337,71;23909,07;   
214-2500    ;ENALAPRILA CM 10 MG                                         ;FARMACO;01/08/2013 0:00:00.000;20883,33;308,15;28230,68;49114,01;20883,33;   
214-0110    ;ACIDO ACETIL SALICILICO CM 100MG                            ;FARMACO;01/08/2013 0:00:00.000;29300;600,07;38879,00;68179,00;29300;   
214-4910    ;LEVOTIROXINA CM 100 MCG                                     ;FARMACO;01/08/2013 0:00:00.000;25970;671,53;34666,91;60636,91;25970;   
224-P113    ;GASA CURACION                                               ;INSUMO;01/08/2013 0:00:00.000;21349;705,13;29671,25;51020,25;21349;   
225-7205    ;GUANTE P/EXAMEN DES. MEDIANO                                ;INSUMO;01/08/2013 0:00:00.000;122350;2881,23;161942,92;284292,92;122350;   
241-1552    ;LANCETAS ACCUCHEK SOFTCLIK  DESECHABLES PAC. AMBULATORIO    ;INSUMO;01/08/2013 0:00:00.000;20360,10;778,30;26634,31;46994,41;20360,10;   
225-7254    ;MASCARILLA DESECHABLE PLIEGUE C/ TIRA - ELASTICO            ;INSUMO;01/08/2013 0:00:00.000;15549,90;415,70;20463,57;36013,47;15549,90;   
214-P122    ;ATORVASTATINA CM 40 MG                                      ;FARMACO;01/08/2013 0:00:00.000;15257,33;299,67;20478,90;35736,23;15257,33;   
224-4544033 ;JERINGA DESECH LUER LOCK 20CC C/AG 21GX1.5                  ;INSUMO;01/08/2013 0:00:00.000;16510,70;838,27;21933,93;38444,63;16510,70;   
225-7200    ;GUANTE P/EXAMEN DES. GRANDE                                 ;INSUMO;01/08/2013 0:00:00.000;30906,67;737,01;42716,07;73622,74;30906,67;   
212-P008    ;CLONAZEPAM CM 0.5 MG                                        ;FARMACO;01/08/2013 0:00:00.000;16802,33;1923,49;28953,76;45756,09;16802,33;   
214-5920    ;PARACETAMOL CM 500 MG                                       ;FARMACO;01/08/2013 0:00:00.000;54858,53;1314,74;72619,98;127478,52;54858,53;   
225-7210    ;GUANTE P/EXAMEN DES. CHICO                                  ;INSUMO;01/08/2013 0:00:00.000;66923,87;2725,23;94597,08;161520,94;66923,87;   
214-P112    ;OMEPRAZOL CP 20 MG                                          ;FARMACO;01/08/2013 0:00:00.000;26154,33;1023,99;34736,24;60890,58;26154,33;   
212-P009    ;CLONAZEPAM CM 2 MG                                          ;FARMACO;01/08/2013 0:00:00.000;18600;2378,92;31925,22;50525,22;18600;   
224-4528397 ;JERINGA DESECH  LUER LOCK 5-6CC AG 21GX1.5                  ;INSUMO;01/08/2013 0:00:00.000;22365,47;748,55;30483,00;52848,47;22365,47;   
214-5142    ;METFORMINA CM 850 MG                                        ;FARMACO;01/09/2013 0:00:00.000;29580;400,56;39260,92;68840,92;29580;   
214-1110073 ;CARBAMAZEPINA CM 200 MG                                     ;FARMACO;01/09/2013 0:00:00.000;16418,67;400,77;21904,61;38323,28;16418,67;   
224-4530397 ;JERINGA DESECH  LUER LOCK 10CC C/AG 21GX1.5                 ;INSUMO;01/09/2013 0:00:00.000;31411,27;653,67;41551,12;72962,38;31411,27;   
224-P119    ;TORULA RECIEN NACIDOS  4 GRAMOS  GRANEL                     ;INSUMO;01/09/2013 0:00:00.000;25676,67;458,89;34646,07;60322,73;25676,67;   
214-2500    ;ENALAPRILA CM 10 MG                                         ;FARMACO;01/09/2013 0:00:00.000;21266,67;436,97;28721,01;49987,67;21266,67;   
214-0110    ;ACIDO ACETIL SALICILICO CM 100MG                            ;FARMACO;01/09/2013 0:00:00.000;29700;632,13;39154,13;68854,13;29700;   
214-4910    ;LEVOTIROXINA CM 100 MCG                                     ;FARMACO;01/09/2013 0:00:00.000;26613;551,25;35390,67;62003,67;26613;   
224-P113    ;GASA CURACION                                               ;INSUMO;01/09/2013 0:00:00.000;22639;320,93;30170,65;52809,65;22639;   
225-7205    ;GUANTE P/EXAMEN DES. MEDIANO                                ;INSUMO;01/09/2013 0:00:00.000;121488,60;2412,92;161287,98;282776,58;121488,60;   
241-1552    ;LANCETAS ACCUCHEK SOFTCLIK  DESECHABLES PAC. AMBULATORIO    ;INSUMO;01/09/2013 0:00:00.000;19623,40;665,75;25704,15;45327,55;19623,40;   
225-7254    ;MASCARILLA DESECHABLE PLIEGUE C/ TIRA - ELASTICO            ;INSUMO;01/09/2013 0:00:00.000;15748,90;333,56;20733,60;36482,50;15748,90;   
214-P122    ;ATORVASTATINA CM 40 MG                                      ;FARMACO;01/09/2013 0:00:00.000;15560,67;189,91;20797,79;36358,46;15560,67;   
224-4544033 ;JERINGA DESECH LUER LOCK 20CC C/AG 21GX1.5                  ;INSUMO;01/09/2013 0:00:00.000;16331,83;628,83;21290,01;37621,85;16331,83;   
225-7200    ;GUANTE P/EXAMEN DES. GRANDE                                 ;INSUMO;01/09/2013 0:00:00.000;30290;850,10;40336,00;70626,00;30290;   
212-P008    ;CLONAZEPAM CM 0.5 MG                                        ;FARMACO;01/09/2013 0:00:00.000;15752,67;2594,35;27241,78;42994,45;15752,67;   
214-5920    ;PARACETAMOL CM 500 MG                                       ;FARMACO;01/09/2013 0:00:00.000;56141,87;1171,14;73938,60;130080,47;56141,87;   
225-7210    ;GUANTE P/EXAMEN DES. CHICO                                  ;INSUMO;01/09/2013 0:00:00.000;70793,73;1896,12;96495,70;167289,44;70793,73;   
214-P112    ;OMEPRAZOL CP 20 MG                                          ;FARMACO;01/09/2013 0:00:00.000;26814,33;803,56;35816,99;62631,32;26814,33;   
212-P009    ;CLONAZEPAM CM 2 MG                                          ;FARMACO;01/09/2013 0:00:00.000;19004,67;3068,10;30344,59;49349,25;19004,67;   
224-4528397 ;JERINGA DESECH  LUER LOCK 5-6CC AG 21GX1.5                  ;INSUMO;01/09/2013 0:00:00.000;22286,47;373,60;29513,22;51799,69;22286,47;   
214-5142    ;METFORMINA CM 850 MG                                        ;FARMACO;01/10/2013 0:00:00.000;30100;847,74;40132,11;70232,11;30100;   
214-1110073 ;CARBAMAZEPINA CM 200 MG                                     ;FARMACO;01/10/2013 0:00:00.000;16958,67;247,55;22662,90;39621,56;16958,67;   
224-4530397 ;JERINGA DESECH  LUER LOCK 10CC C/AG 21GX1.5                 ;INSUMO;01/10/2013 0:00:00.000;32585,37;734,30;43222,38;75807,74;32585,37;   
224-P119    ;TORULA RECIEN NACIDOS  4 GRAMOS  GRANEL                     ;INSUMO;01/10/2013 0:00:00.000;26273,33;912,45;36349,98;62623,32;26273,33;   
214-2500    ;ENALAPRILA CM 10 MG                                         ;FARMACO;01/10/2013 0:00:00.000;21533,33;175,68;28845,43;50378,76;21533,33;   
214-0110    ;ACIDO ACETIL SALICILICO CM 100MG                            ;FARMACO;01/10/2013 0:00:00.000;30066,67;501,44;39827,37;69894,04;30066,67;   
214-4910    ;LEVOTIROXINA CM 100 MCG                                     ;FARMACO;01/10/2013 0:00:00.000;26849;402,81;35623,53;62472,53;26849;   
224-P113    ;GASA CURACION                                               ;INSUMO;01/10/2013 0:00:00.000;23202,33;711,01;30792,05;53994,39;23202,33;   
225-7205    ;GUANTE P/EXAMEN DES. MEDIANO                                ;INSUMO;01/10/2013 0:00:00.000;125228,67;1680,65;166335,30;291563,97;125228,67;   
241-1552    ;LANCETAS ACCUCHEK SOFTCLIK  DESECHABLES PAC. AMBULATORIO    ;INSUMO;01/10/2013 0:00:00.000;20091,73;289,70;26683,68;46775,41;20091,73;   
225-7254    ;MASCARILLA DESECHABLE PLIEGUE C/ TIRA - ELASTICO            ;INSUMO;01/10/2013 0:00:00.000;15982,23;426,41;21259,02;37241,25;15982,23;   
214-P122    ;ATORVASTATINA CM 40 MG                                      ;FARMACO;01/10/2013 0:00:00.000;15613;136,61;21154,30;36767,30;15613;   
224-4544033 ;JERINGA DESECH LUER LOCK 20CC C/AG 21GX1.5                  ;INSUMO;01/10/2013 0:00:00.000;17483,60;734,73;23129,07;40612,67;17483,60;   
225-7200    ;GUANTE P/EXAMEN DES. GRANDE                                 ;INSUMO;01/10/2013 0:00:00.000;30110;784,80;40961,59;71071,59;30110;   
212-P008    ;CLONAZEPAM CM 0.5 MG                                        ;FARMACO;01/10/2013 0:00:00.000;20719,33;1394,36;29372,92;50092,25;20719,33;   
214-5920    ;PARACETAMOL CM 500 MG                                       ;FARMACO;01/10/2013 0:00:00.000;60910;1916,80;82418,27;143328,27;60910;   
225-7210    ;GUANTE P/EXAMEN DES. CHICO                                  ;INSUMO;01/10/2013 0:00:00.000;77071,73;4230,94;105560,39;182632,12;77071,73;   
214-P112    ;OMEPRAZOL CP 20 MG                                          ;FARMACO;01/10/2013 0:00:00.000;28125,33;781,44;37058,26;65183,60;28125,33;   
212-P009    ;CLONAZEPAM CM 2 MG                                          ;FARMACO;01/10/2013 0:00:00.000;21272;683,10;28076,01;49348,01;21272;   
224-4528397 ;JERINGA DESECH  LUER LOCK 5-6CC AG 21GX1.5                  ;INSUMO;01/10/2013 0:00:00.000;22740,13;647,06;30694,43;53434,57;22740,13;   
214-5142    ;METFORMINA CM 850 MG                                        ;FARMACO;01/11/2013 0:00:00.000;30306,67;203,14;41112,97;71419,63;30306,67;   
214-1110073 ;CARBAMAZEPINA CM 200 MG                                     ;FARMACO;01/11/2013 0:00:00.000;17217,33;160,54;23179,34;40396,67;17217,33;   
224-4530397 ;JERINGA DESECH  LUER LOCK 10CC C/AG 21GX1.5                 ;INSUMO;01/11/2013 0:00:00.000;32154,20;452,20;43072,90;75227,10;32154,20;   
224-P119    ;TORULA RECIEN NACIDOS  4 GRAMOS  GRANEL                     ;INSUMO;01/11/2013 0:00:00.000;25626,67;997,60;35479,37;61106,04;25626,67;   
214-2500    ;ENALAPRILA CM 10 MG                                         ;FARMACO;01/11/2013 0:00:00.000;20433,33;283,28;27467,41;47900,74;20433,33;   
214-0110    ;ACIDO ACETIL SALICILICO CM 100MG                            ;FARMACO;01/11/2013 0:00:00.000;29000;565,10;39154,64;68154,64;29000;   
214-4910    ;LEVOTIROXINA CM 100 MCG                                     ;FARMACO;01/11/2013 0:00:00.000;26102,33;665,67;34979,47;61081,81;26102,33;   
224-P113    ;GASA CURACION                                               ;INSUMO;01/11/2013 0:00:00.000;22023,33;708,12;30546,17;52569,51;22023,33;   
225-7205    ;GUANTE P/EXAMEN DES. MEDIANO                                ;INSUMO;01/11/2013 0:00:00.000;126846,67;668,18;168780,28;295626,94;126846,67;   
241-1552    ;LANCETAS ACCUCHEK SOFTCLIK  DESECHABLES PAC. AMBULATORIO    ;INSUMO;01/11/2013 0:00:00.000;19621,73;618,06;27136,57;46758,31;19621,73;   
225-7254    ;MASCARILLA DESECHABLE PLIEGUE C/ TIRA - ELASTICO            ;INSUMO;01/11/2013 0:00:00.000;15636,60;356,84;20949,78;36586,38;15636,60;   
214-P122    ;ATORVASTATINA CM 40 MG                                      ;FARMACO;01/11/2013 0:00:00.000;13800,67;490,81;19632,05;33432,72;13800,67;   
224-4544033 ;JERINGA DESECH LUER LOCK 20CC C/AG 21GX1.5                  ;INSUMO;01/11/2013 0:00:00.000;17677,07;414,61;23959,11;41636,18;17677,07;   
225-7200    ;GUANTE P/EXAMEN DES. GRANDE                                 ;INSUMO;01/11/2013 0:00:00.000;29123,33;767,55;40510,90;69634,24;29123,33;   
212-P008    ;CLONAZEPAM CM 0.5 MG                                        ;FARMACO;01/11/2013 0:00:00.000;21379;2212,84;31023,40;52402,40;21379;   
214-5920    ;PARACETAMOL CM 500 MG                                       ;FARMACO;01/11/2013 0:00:00.000;58923,33;1434,40;77844,53;136767,87;58923,33;   
225-7210    ;GUANTE P/EXAMEN DES. CHICO                                  ;INSUMO;01/11/2013 0:00:00.000;80561,73;4527,82;108716,90;189278,63;80561,73;   
214-P112    ;OMEPRAZOL CP 20 MG                                          ;FARMACO;01/11/2013 0:00:00.000;28640,33;617,42;38320,97;66961,30;28640,33;   
212-P009    ;CLONAZEPAM CM 2 MG                                          ;FARMACO;01/11/2013 0:00:00.000;25605,33;2693,29;33615,03;59220,37;25605,33;   
224-4528397 ;JERINGA DESECH  LUER LOCK 5-6CC AG 21GX1.5                  ;INSUMO;01/11/2013 0:00:00.000;21845,77;505,29;31131,62;52977,38;21845,77;   
214-5142    ;METFORMINA CM 850 MG                                        ;FARMACO;01/12/2013 0:00:00.000;30266,67;283,28;40356,30;70622,97;30266,67;   
214-1110073 ;CARBAMAZEPINA CM 200 MG                                     ;FARMACO;01/12/2013 0:00:00.000;16717,67;243,33;22649,27;39366,93;16717,67;   
224-4530397 ;JERINGA DESECH  LUER LOCK 10CC C/AG 21GX1.5                 ;INSUMO;01/12/2013 0:00:00.000;32576,83;617,77;43205,77;75782,60;32576,83;   
224-P119    ;TORULA RECIEN NACIDOS  4 GRAMOS  GRANEL                     ;INSUMO;01/12/2013 0:00:00.000;26430;490,88;35465,51;61895,51;26430;   
214-2500    ;ENALAPRILA CM 10 MG                                         ;FARMACO;01/12/2013 0:00:00.000;21266,67;415,24;28351,82;49618,49;21266,67;   
214-0110    ;ACIDO ACETIL SALICILICO CM 100MG                            ;FARMACO;01/12/2013 0:00:00.000;30533,33;533,26;40546,54;71079,87;30533,33;   
214-4910    ;LEVOTIROXINA CM 100 MCG                                     ;FARMACO;01/12/2013 0:00:00.000;26882;536,36;35905,00;62787,00;26882;   
224-P113    ;GASA CURACION                                               ;INSUMO;01/12/2013 0:00:00.000;21520;440,78;29716,17;51236,17;21520;   
225-7205    ;GUANTE P/EXAMEN DES. MEDIANO                                ;INSUMO;01/12/2013 0:00:00.000;124749,93;267,12;166185,19;290935,13;124749,93;   
241-1552    ;LANCETAS ACCUCHEK SOFTCLIK  DESECHABLES PAC. AMBULATORIO    ;INSUMO;01/12/2013 0:00:00.000;20081,70;412,11;26907,87;46989,57;20081,70;   
225-7254    ;MASCARILLA DESECHABLE PLIEGUE C/ TIRA - ELASTICO            ;INSUMO;01/12/2013 0:00:00.000;15987,27;224,70;21337,31;37324,58;15987,27;   
214-P122    ;ATORVASTATINA CM 40 MG                                      ;FARMACO;01/12/2013 0:00:00.000;13779,33;502,81;19795,19;33574,52;13779,33;   
224-4544033 ;JERINGA DESECH LUER LOCK 20CC C/AG 21GX1.5                  ;INSUMO;01/12/2013 0:00:00.000;18047,43;510,37;23693,56;41741,00;18047,43;   
225-7200    ;GUANTE P/EXAMEN DES. GRANDE                                 ;INSUMO;01/12/2013 0:00:00.000;29530;719,92;40832,32;70362,32;29530;   
212-P008    ;CLONAZEPAM CM 0.5 MG                                        ;FARMACO;01/12/2013 0:00:00.000;22024,33;3105,14;32384,59;54408,93;22024,33;   
214-5920    ;PARACETAMOL CM 500 MG                                       ;FARMACO;01/12/2013 0:00:00.000;57340;722,41;76391,98;133731,98;57340;   
225-7210    ;GUANTE P/EXAMEN DES. CHICO                                  ;INSUMO;01/12/2013 0:00:00.000;80611,60;3276,48;105318,85;185930,45;80611,60;   
214-P112    ;OMEPRAZOL CP 20 MG                                          ;FARMACO;01/12/2013 0:00:00.000;27667;814,58;36868,51;64535,51;27667;   
212-P009    ;CLONAZEPAM CM 2 MG                                          ;FARMACO;01/12/2013 0:00:00.000;22753,33;3134,42;31009,57;53762,90;22753,33;   
224-4528397 ;JERINGA DESECH  LUER LOCK 5-6CC AG 21GX1.5                  ;INSUMO;01/12/2013 0:00:00.000;22668,10;90,94;30224,61;52892,71;22668,10;   
224-4530397 ;JERINGA DESECH  LUER LOCK 10CC C/AG 21GX1.5                 ;INSUMO;01/01/2014 0:00:00.000;31774,13;758,05;43003,23;74777,37;31774,13;   
224-P119    ;TORULA RECIEN NACIDOS  4 GRAMOS  GRANEL                     ;INSUMO;01/01/2014 0:00:00.000;26180;898,40;36660,14;62840,14;26180;   
214-2500    ;ENALAPRILA CM 10 MG                                         ;FARMACO;01/01/2014 0:00:00.000;20433,33;339,45;28560,09;48993,43;20433,33;   
214-0110    ;ACIDO ACETIL SALICILICO CM 100MG                            ;FARMACO;01/01/2014 0:00:00.000;29033,33;438,38;39945,56;68978,89;29033,33;   
214-4910    ;LEVOTIROXINA CM 100 MCG                                     ;FARMACO;01/01/2014 0:00:00.000;26228;275,36;35829,90;62057,90;26228;   
224-P113    ;GASA CURACION                                               ;INSUMO;01/01/2014 0:00:00.000;22196,67;489,85;31186,03;53382,69;22196,67;   
225-7205    ;GUANTE P/EXAMEN DES. MEDIANO                                ;INSUMO;01/01/2014 0:00:00.000;128653,33;1564,92;171159,90;299813,24;128653,33;   
241-1552    ;LANCETAS ACCUCHEK SOFTCLIK  DESECHABLES PAC. AMBULATORIO    ;INSUMO;01/01/2014 0:00:00.000;20230,03;120,17;27148,40;47378,43;20230,03;   
225-7254    ;MASCARILLA DESECHABLE PLIEGUE C/ TIRA - ELASTICO            ;INSUMO;01/01/2014 0:00:00.000;15975,60;415,22;21473,89;37449,49;15975,60;   
214-P122    ;ATORVASTATINA CM 40 MG                                      ;FARMACO;01/01/2014 0:00:00.000;13765;468,98;19913,82;33678,82;13765;   
224-4544033 ;JERINGA DESECH LUER LOCK 20CC C/AG 21GX1.5                  ;INSUMO;01/01/2014 0:00:00.000;17932,57;720,55;23866,91;41799,47;17932,57;   
225-7200    ;GUANTE P/EXAMEN DES. GRANDE                                 ;INSUMO;01/01/2014 0:00:00.000;29383,33;797,35;40837,85;70221,18;29383,33;   
212-P008    ;CLONAZEPAM CM 0.5 MG                                        ;FARMACO;01/01/2014 0:00:00.000;18560,33;1461,06;29007,42;47567,76;18560,33;   
214-5920    ;PARACETAMOL CM 500 MG                                       ;FARMACO;01/01/2014 0:00:00.000;57000;2169,01;79445,53;136445,53;57000;   
225-7210    ;GUANTE P/EXAMEN DES. CHICO                                  ;INSUMO;01/01/2014 0:00:00.000;84244,60;4620,76;109514,70;193759,30;84244,60;   
214-P112    ;OMEPRAZOL CP 20 MG                                          ;FARMACO;01/01/2014 0:00:00.000;27261,33;767,97;37136,04;64397,38;27261,33;   
212-P009    ;CLONAZEPAM CM 2 MG                                          ;FARMACO;01/01/2014 0:00:00.000;22519,33;682,61;29740,75;52260,08;22519,33;   
224-4528397 ;JERINGA DESECH  LUER LOCK 5-6CC AG 21GX1.5                  ;INSUMO;01/01/2014 0:00:00.000;21541,43;724,54;29991,16;51532,59;21541,43;   
214-5142    ;METFORMINA CM 850 MG                                        ;FARMACO;01/01/2014 0:00:00.000;30213,33;271,17;41225,20;71438,53;30213,33;   
214-1110073 ;CARBAMAZEPINA CM 200 MG                                     ;FARMACO;01/01/2014 0:00:00.000;17474,33;224,81;23396,50;40870,83;17474,33;   
214-4910    ;LEVOTIROXINA CM 100 MCG                                     ;FARMACO;01/02/2014 0:00:00.000;26204,67;247,60;35872,98;62077,64;26204,67;   
224-P113    ;GASA CURACION                                               ;INSUMO;01/02/2014 0:00:00.000;22650;685,30;31530,74;54180,74;22650;   
225-7205    ;GUANTE P/EXAMEN DES. MEDIANO                                ;INSUMO;01/02/2014 0:00:00.000;120223,33;1916,08;166039,31;286262,64;120223,33;   
241-1552    ;LANCETAS ACCUCHEK SOFTCLIK  DESECHABLES PAC. AMBULATORIO    ;INSUMO;01/02/2014 0:00:00.000;19840,03;494,08;27998,67;47838,70;19840,03;   
225-7254    ;MASCARILLA DESECHABLE PLIEGUE C/ TIRA - ELASTICO            ;INSUMO;01/02/2014 0:00:00.000;16001,63;197,39;21697,80;37699,43;16001,63;   
214-P122    ;ATORVASTATINA CM 40 MG                                      ;FARMACO;01/02/2014 0:00:00.000;14579,33;500,23;20628,71;35208,05;14579,33;   
224-4544033 ;JERINGA DESECH LUER LOCK 20CC C/AG 21GX1.5                  ;INSUMO;01/02/2014 0:00:00.000;16412,97;502,32;22783,94;39196,90;16412,97;   
225-7200    ;GUANTE P/EXAMEN DES. GRANDE                                 ;INSUMO;01/02/2014 0:00:00.000;27963,33;792,13;40384,79;68348,12;27963,33;   
212-P008    ;CLONAZEPAM CM 0.5 MG                                        ;FARMACO;01/02/2014 0:00:00.000;16370;2597,60;28104,93;44474,93;16370;   
214-5920    ;PARACETAMOL CM 500 MG                                       ;FARMACO;01/02/2014 0:00:00.000;57213,33;930,58;78779,90;135993,23;57213,33;   
225-7210    ;GUANTE P/EXAMEN DES. CHICO                                  ;INSUMO;01/02/2014 0:00:00.000;80774,60;4510,65;107855,24;188629,84;80774,60;   
214-P112    ;OMEPRAZOL CP 20 MG                                          ;FARMACO;01/02/2014 0:00:00.000;27449,67;689,06;37383,62;64833,28;27449,67;   
212-P009    ;CLONAZEPAM CM 2 MG                                          ;FARMACO;01/02/2014 0:00:00.000;25518;2158,86;36619,89;62137,89;25518;   
224-4528397 ;JERINGA DESECH  LUER LOCK 5-6CC AG 21GX1.5                  ;INSUMO;01/02/2014 0:00:00.000;20617,73;270,38;28597,35;49215,08;20617,73;   
214-5142    ;METFORMINA CM 850 MG                                        ;FARMACO;01/02/2014 0:00:00.000;30526,67;211,29;41237,51;71764,18;30526,67;   
214-1110073 ;CARBAMAZEPINA CM 200 MG                                     ;FARMACO;01/02/2014 0:00:00.000;16343;258,45;22451,99;38794,99;16343;   
224-4530397 ;JERINGA DESECH  LUER LOCK 10CC C/AG 21GX1.5                 ;INSUMO;01/02/2014 0:00:00.000;31162,30;518,03;42287,87;73450,17;31162,30;   
224-P119    ;TORULA RECIEN NACIDOS  4 GRAMOS  GRANEL                     ;INSUMO;01/02/2014 0:00:00.000;25836,67;943,73;36334,92;62171,59;25836,67;   
214-2500    ;ENALAPRILA CM 10 MG                                         ;FARMACO;01/02/2014 0:00:00.000;20341,33;192,63;27768,95;48110,29;20341,33;   
